494,'494',13104
495,'495',10219
496,'496',3713
497,'497',10255
498,'498',3685
499,'499',2806
500,'500',2844
501,'501',7228
502,'502',23654
503,'503',33068
504,'504',3941
505,'505',9952
506,'506',11346
507,'507',7578
508,'508',4445
509,'509',3419
510,'510',6706
511,'511',5082
512,'512',2101
513,'513',14411
514,'514',3953
515,'515',29034
516,'516',2910
517,'517',8882
518,'518',14812
519,'519',5598
520,'520',5267
521,'521',2512
522,'522',2131
523,'523',7314
524,'524',3258
525,'525',10226
526,'526',3066
527,'527',4326
528,'528',7118
529,'529',5672
530,'530',4545
531,'531',16526
532,'532',11183
533,'533',21142
534,'534',2037
535,'535',23826
536,'536',15995
537,'537',11050
538,'538',1980
539,'539',10438
540,'540',2298
541,'541',7195
542,'542',17245
543,'543',19594
544,'544',4483
545,'545',4521
546,'546',18069
547,'547',4375
548,'548',7767
549,'549',4327
550,'550',3995
551,'551',8908
552,'552',5201
553,'553',4667
554,'554',1975
555,'555',44118
556,'556',2284
557,'557',32930
558,'558',3182
559,'559',10671
560,'560',1959
561,'561',1894
562,'562',1364
563,'563',2907
564,'564',2218
565,'565',3295
566,'566',4058
567,'567',8913
568,'568',3635
569,'569',4992
570,'570',4358
571,'571',2957
572,'572',19585
573,'573',6721
574,'574',7771
575,'575',11005
576,'576',1572
577,'577',12939
578,'578',2329
579,'579',7894
580,'580',2523
581,'581',4593
582,'582',3916
583,'583',10182
584,'584',7621
585,'585',2181
586,'586',11472
587,'587',2000
588,'588',11866
589,'589',11472
590,'590',1993
591,'591',8360
592,'592',2790
593,'593',35908
594,'594',1952
595,'595',14310
596,'596',7457
597,'597',3619
598,'598',26966
599,'599',9816
600,'600',2621
601,'601',6409
602,'602',12128
603,'603',22380
604,'604',9714
605,'605',5299
606,'606',2432
607,'607',16418
608,'608',13701
609,'609',2968
610,'610',6760
611,'611',17078
612,'612',7570
613,'613',9507
614,'614',6675
615,'615',3389
616,'616',3837
617,'617',17889
618,'618',16124
619,'619',17790
620,'620',8863
621,'621',3660
622,'622',2108
623,'623',2006
624,'624',3448
625,'625',35262
626,'626',10117
627,'627',3270
628,'628',2212
629,'629',4600
630,'630',7595
631,'631',6003
632,'632',21824
633,'633',5485
634,'634',12109
635,'635',21013
636,'636',4882
637,'637',3968
638,'638',3426
639,'639',1736
640,'640',3107
641,'641',4099
642,'642',2428
643,'643',2583
644,'644',3635
645,'645',3790
646,'646',3300
647,'647',9539
648,'648',11499
649,'649',16731
650,'650',3127
651,'651',3979
652,'652',4416
653,'653',4638
654,'654',8759
655,'655',6879
656,'656',2991
657,'657',3875
658,'658',3228
659,'659',2502
660,'660',1881
661,'661',5378
662,'662',3482
663,'663',2043
664,'664',1957
665,'665',5564
666,'666',5566
667,'667',7269
668,'668',18931
669,'669',22681
670,'670',18062
671,'671',12655
672,'672',2829
673,'673',12789
674,'674',18950
675,'675',12432
676,'676',3639
677,'677',2078
678,'678',3986
679,'679',13291
680,'680',36981
681,'681',5302
682,'682',17874
683,'683',3890
684,'684',12196
685,'685',16088
686,'686',4609
687,'687',36016
688,'688',2308
689,'689',2320
690,'690',6882
691,'691',2748
692,'692',3152
693,'693',3108
694,'694',7602
695,'695',4985
696,'696',13429
697,'697',2858
698,'698',4365
699,'699',3726
700,'700',5847
701,'701',19205
702,'702',13174
703,'703',10688
704,'704',1717
705,'705',31119
706,'706',12357
707,'707',2843
708,'708',3724
709,'709',2760
710,'710',2347
711,'711',9941
712,'712',2359
713,'713',2451
714,'714',23864
715,'715',6170
716,'716',8399
717,'717',4404
718,'718',3251
719,'719',19276
720,'720',1951
721,'721',9509
722,'722',4252
723,'723',1783
724,'724',3993
725,'725',2963
726,'726',5136
727,'727',35915
728,'728',2773
729,'729',24560
730,'730',1954
731,'731',16087
732,'732',5170
733,'733',12063
734,'734',4523
735,'735',4887
736,'736',2848
737,'737',4469
738,'738',1938
739,'739',3745
740,'740',6522
741,'741',8397
742,'742',5136
743,'743',12001
744,'744',2223
745,'745',2995
746,'746',1898
747,'747',4407
748,'748',5183
749,'749',3666
750,'750',3605
751,'751',12408
752,'752',4558
753,'753',2878
754,'754',1729
755,'755',20510
756,'756',4118
757,'757',6316
758,'758',3213
759,'759',5377
760,'760',3899
761,'761',2050
762,'762',3331
763,'763',5971
764,'764',2402
765,'765',13995
766,'766',17205
767,'767',2585
768,'768',2526
769,'769',3363
770,'770',6979
771,'771',4365
772,'772',2635
773,'773',22787
774,'774',2872
775,'775',4875
776,'776',5618
777,'777',12822
778,'778',2903
779,'779',8079
780,'780',4569
781,'781',5977
782,'782',2640
783,'783',31839
784,'784',14725
785,'785',7625
786,'786',6483
787,'787',2240
788,'788',9022
789,'789',27565
790,'790',4317
791,'791',2868
792,'792',2672
793,'793',6004
794,'794',4475
795,'795',7414
796,'796',6915
